file;meaning;dataset-1;dataset-2;dataset-3;dataset-4;DE00;DE01;DE02;DE03;DE04;DE05;DE06;DE07;DE08;DE09;DE10;DE11;DE12;DE13;DE14;DE15;DE16;DE17;DE18;DE19;DE20;EN00;PL00;SR01;SR02;SR03;SR04;SR05;SR06;SR07;SR08;SR09;SR10;SR11;SR12;SR13;SR14;SR15;VA01;VA02;VA03;VA04;VA05;VA06;VA07;VA08;VA09;VA10;VA11;VA12;BE01;BE02;BE03;BE04;BE05;BE06;BE07;BE08;BE09;BE10;BE11;BE12;BE13;BE14;BE15;BE16;BE17;BE18;BE19;BE20;BE21;BE22;BE23;BE24;BE25;BE26;BE27;BE28;BE29;BE30;BE31;BE32;BE33;BE34;BE35;BE36;BE37;BE38;BE39;BE40;BE41;BE42;BE43;BE44;BE45;BE46;BE47;BE48;BE49;BE50;BE51;BE52;BE53;BE54;BE55;BE56;BR01;BR02;BR03;BR04;BR05;BR06;BR07;BR08;BR09;BR10;BR11;BR12;BR13;BR14;BR15;BR16;BR17;BR18;BR19;BR20;US01;US02;US03;US04;US05;US06;US07;US08;US09;US10;US11;US12;US13;US14;US15;US17;US18;US19;US20;US21;US22;US23;US24;US25;US26;PA01;PA02;PA03;PA04;PA05;PA06;PA07;PA08,,
KR_meat.wav;meat;1;21;8;3;meat;water;meat;water;meat;fruit;deer;meat;tiger;fruit;meat;meat;meat;tiger;tiger;fruit;meat;fruit;meat;water;meat;tiger;tiger;rock;tiger;snake;woman;man;child;tiger;fire;tiger;water;tiger;tiger (man);snake;tiger;deer;tiger;tiger;man;tiger;deer;snake;deer;tiger;deer;meat;deer;tiger;deer;meat;tiger;tiger;fruit;meat;meat;deer;meat;meat;deer;fruit;fruit;meat;fruit;fruit;fruit;fruit;deer;fruit;fruit;man;tiger;fruit;fruit;tiger;tiger;fruit;fruit;tiger;meat;deer;snake;tiger;deer;tiger;meat;meat;fruit;tiger;tiger;meat;fruit;fruit;man;meat;meat;meat;meat;tiger;fruit;deer;meat;meat;fruit;meat;tiger;tiger;meat;tiger;meat;fruit;tiger;tiger;deer;fruit;fruit;man;deer;tiger;tiger;fruit;tiger;tiger;meat;tiger;meat;tiger;man;meat;tiger;man;tiger;tiger;meat;tiger;man;fruit;man;meat;woman;meat;fruit;tiger;meat;deer;fruit;man;meat;tiger;tiger;deer;deer;snake;tiger;deer;deer;water;tiger,,
KD_fire.wav;fire;2;14;15;21;fire;snake;tiger;tiger;fire;snake;meat;snake;tiger;snake;tiger;snake;tiger;water;water;snake;fire;fire;fire;snake;fire;snake;snake;tiger;snake;knife;fire;fire;tiger;water;tiger;man;snake;meat;snake;snake;snake;tiger;snake;water;snake;fire;tiger;snake;fire;snake;water;water;snake;snake;fire;fire;meat;water;tiger;fire;water;water;man;water;snake;fire;tiger;snake;fire;fire;fire;fire;snake;water;water;fire;fire;fire;fire;fire;fire;fire;fire;fire;fire;fire;snake;snake;knife;snake;fire;tiger;fire;water;snake;water;fire;tiger;fire;fire;tiger;tiger;water;water;fire;tiger;fire;fire;man;fire;snake;fire;snake;fire;fire;water;fire;fire;snake;fire;snake;knife;snake;snake;fire;fire;tiger;snake;fire;snake;fire;snake;man;tiger;fire;water;fire;snake;fire;water;water;fire;knife;fire;fire;fire;fire;snake;fire;fire;fire;water;fire;man;tiger;tiger;snake;snake;tiger;fire;tiger;snake;deer,,
BW_tiger.wav;tiger;3;27;20;26;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;deer;tiger;tiger;tiger;tiger;man;tiger;tiger;tiger;tiger;tiger;man;tiger;deer;tiger;tiger;tiger;tiger;deer;tiger;fire;tiger;fire;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tigr;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;man;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;man;tiger;tiger;man;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;deer;tiger;tiger;meat;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;man;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger;tiger,,
BW_man.wav;man;4;23;32;1;tiger;man;man;tiger;man;man;snake;man;reh;man;tiger;tiger;man;man;tiger;knife;tiger;tiger;tiger;man;man;tiger;tiger;man;man;fire;man;man;man;tiger;tiger;deer;tiger;man;tiger;tiger;tiger;deer;man;deer;tiger;man;man;meat;tiger;man;tiger;man;tiger;man;man;knife;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;knife;man;man;man;man;man;man;man;man;man;man;man;man;tiger;tiger;deer;man;man;man;man;man;man;rock;tiger;deer;man;tiger;tiger;tiger;tiger;man;man;man;man;man;man;tiger;tiger;man;man;man;man;man;tiger;knife;man;man;man;man;man;man;man;man;man;man;man;man;man;tiger;tiger;man;man;man;deer,,
GB_fruit.wav;fruit;5;1;18;15;fruit;woman;fruit;woman;fruit;woman;child;woman;fruit;fruit;fruit;fruit;woman;meat;rock;woman;water;fruit;fruit;water;woman;meat;water;woman;woman;meat;fire;tiger;meat;child;woman;man;child;woman;woman;child;child, woman;woman;woman;woman;woman;fruit;woman;tiger;woman;woman;man;fire;woman;fruit;woman;fruit;woman;meat;woman;woman;woman;woman;woman;woman;woman;fruit;woman;woman;woman;fruit;woman;fruit;woman;fruit;snake;deer;woman;knife;woman;tiger;woman;woman;woman;tiger;fruit;fruit;woman;child;meat;woman;knife;fruit;woman;meat;woman;woman;woman;woman;woman;woman;woman;fruit;woman;water;woman;deer;woman;woman;woman;fruit;fruit;fruit;fruit;fruit;woman;woman;woman;woman;woman;knife;woman;fruit;woman;woman;fruit;woman;woman;woman;fruit;woman;woman;woman;woman;woman;woman;fruit;snake;women;women;woman;woman;woman;woman;fruit;woman;woman;fruit;woman;woman;woman;fruit;woman;woman;woman;woman;child;woman;snake;woman;woman;woman;woman;fruit,
KD_water.wav;water;6;25;7;17;water;child;water;deer;rock;deer;child;deer;rock;water;fruit;water;rock;fruit;meat;child;water;rock;water;water;water;rock;water;deer;deer;deer;rock;water;water;fruit;fruit;0;fire;tiger;water;water;deer;deer;water;rock;water;rock;rock;snake;water;tiger;rock;rock;water;water;rock;water;child;fruit;water;fruit;deer;rock;knife;deer;deer;deer;water;deer;rock;deer;deer;deer;rock;deer;deer;water;rock;water;deer;water;deer;water;rock;fruit;deer;water;child;deer;rock;child;water;snake;deer;deer;child;rock;water;rock;deer;rock;rock;rock;deer;water;water;child;water;fruit;deer;water;water;deer;rock;water;water;water;water;deer;water;water;water;deer;deer;water;water;water;meat;fire;deer;deer;rock;water;water;deer;water;fruit;fruit;fruit;fruit;rock;deer;fruit;deer;fruit;fruit;rock;deer;water;knife;knife;fruit;water;water;deer;rock;knife;rock;tiger;tiger;rock;rock;rock;deer,,
GB_child.wav;child;7;35;14;8;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;fruit;tiger;child;child;child;child;water;deer;child;child;woman;child;child;child;child;child;child;child;deer;child;child;child;child;child;child;child;child;child;child;child;deer;deer;child;child;child;child;child;child;child;woman;woman;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;woman;child;child;fire;child;child;child;child;child;child;child;child;child;woman;child;deer;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;child;woman;child;child;child;child;child;child;child;child;child;child;child;woman;child;child;child;child;tiger;tiger;child;child;child;child,,
KD_deer.wav;deer;8;13;36;13;deer;deer;man;deer;deer;deer;deer;man;man;deer;deer;deer;man;deer;deer;deer;deer;deer;deer;deer;deer;deer;child;woman;rock;woman;deer;man;deer;deer;man;man;deer;deer;deer;man;man;man;man;deer;deer;deer;man;deer;deer;deer;deer;meat;deer;deer;deer;child;man;man;man;deer;deer;deer;man;deer;man;deer;man;deer;man;deer;man;man;fruit;deer;deer;deer;deer;deer;man;man;man;man;man;deer;man;deer;man;deer;deer;deer;man;man;man;deer;deer;man;man;tigr;man;deer;deer;knife;man;man;man;deer;man;man;man;deer;deer;man;man;meat;man;deer;deer;man;man;deer;man;deer;man;tiger;deer;deer;deer;deer;deer;deer;man;man;deer;man;man;man;man;man;deer;deer;man;deer;man;man;child;man;deer;water;man;man;deer;man;man;deer;deer;deer;knife;deer;deer;deer;man;man;man,,
IL_knife.wav;knife;9;30;16;31;fire;knife;knife;snake;knife;knife;man;man;knife;knife;tiger;knife;snake;knife;knife;knife;knife;meat;knife;tiger;knife;knife;knife;fire;deer;deer;fire, meat;man;deer;tiger;snake;deer;snake;tiger;knife;snake;woman;child;man;snake;man;man;deer;deer;water;rock;fire;deer;deer;knife;knife;knife;fire;knife;deer;knife;fire;knife;man;knife;knife;knife;knife;knife;knife;knife;fire;knife;knife;snake;knfe;snake;knife;fire;knife;knife;tiger;man;knife;knife;knife;knife;deer;knife;knife;woman;meat;fruit;knife;knife;fire;knife;knife;man;man;knife;knife;knife;knife;fire;knife;knife;woman;knife;man;fire;knife;man;knife;fire;knife;knife;rock;fire;snake;knife;deer;knife;fire;snake;knife;knife;fire;deer;knife;knife;knife ;knife;fire;knife;knife;knife;knife;man;knife;knife;woman;fire;knife;knife;woman;fire;knife;meat;fruit;man;fire;knife;knife;knife;rock;woman;fire;snake;tiger;snake;knife;deer;tiger,
KR_rock.wav;rock;10;10;13;11;rock;fruit;child;water;rock;man;water;rock;man;rock;woman;water;knife;rock;rock;water;rock;rock;rock;rock;rock;rock;fire;meat;water;rock;fruit;rock;water;water;rock;fruit;water;knife;man;fruit;fruit;man;child;water;man;woman;rock;rock;rock;meat;rock;rock;man;rock;fruit;rock;woman;rock;water;rock;deer;woman;fruit;rock;deer;woman;water;fruit;fruit;water;rock;fruit;deer;knife;rock;water;deer;rock;rock;rock;water;water;rock;rock;rock;meat;man;rock;rock;fruit;fruit;rock;man;rock;rock;rock;fire;rock;man;knife;deer;water;rock;rock;rock;rock;rock;water;man;water;water;water;rock;rock;water;water;rock;water;deer;water;water;water;tiger;rock;water;rock;rock;rock;rock;rock;fruit;rock;rock;fruit;rock;rock;child;deer;man;rock;child;child;rock;water;rock;rock;rock;knife;rock;rock;rock;rock;rock;fruit;rock;rock;water;tiger;rock;rock;knife;rock;rock,,
SU_snake.wav;snake;11;22;17;20;snake;snake;snake;knife;snake;snake;fire;snake;snake;snake;snake;meat;snake;snake;snake;fire;snake;fire;meat;knife;knife;snake;snake;snake;fire;fire;snake;knife;rock;water;fire;0;knife;knife;snake;rock;water;woman;rock;meat;fire;snake;snake;deer;snake;rock;snake;fire;meat;snake;snake;snake;fire;snake;meat;deer;fire;knife;snake;snake;meat;snake;snake;snake;snake;snake;meat;snake;snake;der;snake;meat;snake;meat;snake;meat;snake;snake;snake;snake;snake;snake;snake;snake;snake;fire;snake;snake;snake;snake;snake;snake;snake;fire;snake;snake;snake;snake;snake;rock;snake;snake;snake;fire;rock;snake;snake;snake;snake;snake;snake;fire;snake;woman;fire;snake;fire;snake;snake;fire;snake;snake;snake;snake;snake;snake;snake;snake;snake;fire;snake;snake;fire;fire;snake;fire;snake;snake;snake;snake;snake;snake;snake;fire;snake;snake;snake;fire;snake;snake;snake;snake;meat;snake;snake;snake;snake;knife;snake,,
IL_woman.wav;woman;12;31;28;34;woman;woman;woman;child;child;deer;woman;child;woman;deer;woman;woman;child;woman;woman;child;woman;woman;woman;deer;woman;child;deer;woman;child;water;child;child;child;child;child;child;deer;deer;woman;woman;child;woman;woman;woman;woman;woman;woman;child;woman;woman;child;woman;woman;woman;woman;deer;woman;woman;dear;deer;child;woman;child;child;deer;deer;deer;child;woan;woman;deer;woman;woman;woman;child;child;soman;child;woman;woman;deer;woman;woman;water;woman;woman;woman;child;child;woman;child;deer;woman;deer;child;woman;woman;woman;woman;child;child;deer;child;deer;woman;woman;woman;woman;woman;deer;deer;woman;deer;deer;woman;deer;woman;woman;woman;deer;deer;woman;woman;deer;woman;deer;deer;deer;deer;woman;child;child;woman;child;woman;deer;deer;woman;woman;woman;woman;woman;woman;child;child;woman;child;woman;woman;woman;child;deer;woman;woman;child;woman;fruit;tiger;tiger;woman;woman;child;deer,,
SU_rock.wav;rock;13;29;10;19;rock;rock;child;rock;rock;deer;water;rock;woman;rock;water;water;fruit;child;rock;water;rock;rock;rock;rock;rock;rock;rock;fire;deer;meat;woman;water;rock;water;man;fruit;fruit;rock;man;fruit, rock;rock;man;man;child;rock;rock;rock;snake;knife;knife;knife;rock;snake;rock;rock;rock;woman;rock;knife;child;rock;woman;deer;rock;water;deer;rock;woman;deer;water;deer;deer;water;rock;rock;rock;deer;rock;rock;rock;rock;water;rock;rock;rock;deer;man;water;deer;woman;rock;man;woman;rock;rock;water;man;rock;rock;woman;deer;water;deer;water;rock;rock;man;rock;man;water;water;water;child;water;water;water;rock;water;rock;rock;water;water;knife;rock;water;rock;water;rock;rock;deer;water;water;deer;rock;deer;rock;rock;knife;man;rock;rock;child;water;rock;fruit;rock;rock;fruit;fruit;rock;water;rock;rock;fruit;rock;rock;meat;tiger;tiger;knife;knife;rock;water,
IL_fire.wav;fire;14;5;12;36;knife;fire;fire;fire;fire;snake;snake;snake;man;fire;fire;fire;fire;fire;fire;snake;fire;meat;fire;fire;fire;knife;snake;water;tiger;child;woman;snake;knife;snake;water;child;snake;snake;fire;fire;woman;man;man;deer;snake;fire;deer;deer;fire;man;meat;snake;water;fire;water;fire;water;fire;fire;tiger;fire;water;man;water;water;water;fire;snake;man;knife;tiger;man;meat;water;fire;water;fie;knife;water;fire;snake;fire;fire;man;water;fire;water;fire;fire;snake;knife;fire;fire;fire;fire;fire;water;man;fire;tiger;knife;fire;fire;meat;water;water;man;fire;man;fire;fire;fire;snake;fire;fire;water;fire;man;man;fire;snake;water;fire;snake;fire;fire;snake;snake;fire;fire;fire;fire;fire;man;fire;water;fire;child;water;child;man;water;fire;water;man;fire;fire;water;fire;fire;meat;meat;fire;fire;water;man;fire;snake;fire;water;snake;fire;knife,,
KR_woman.wav;woman;15;4;24;23;child;woman;woman;man;woman;woman;woman;child;woman;fruit;child;woman;woman;fruit;child;child;woman;woman;woman;woman;woman;child;woman;child;child;man;child;meat;child;woman;child;man;child;woman;woman;woman;man;child;woman;child;woman;woman;man;man;woman;child;deer;child;woman;child;child;woman;child;woman;woman;woman;child;woman;woman;child;woman;woman;woman;child;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;child;child;woman;woman;child;woman;woman;woman;woman;woman;woman;woman;wman;woman;woman;woman;woman;child;woman;woman;woman;fruit;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;child;woman;woman;woman;child;woman;child;woman;woman;woman;water;woman;woman;woman;woman;woman;child;woman;child;man;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;woman;man;woman;woman;woman;woman;child;woman;woman;woman;woman;child;woman;woman;tiger;fruit;woman;child;woman;woman,,
KD_knife.wav;knife;16;2;34;9;knife;woman;rock;deer;knife;woman;woman;knife;fire;knife;snake;knife;deer;knife;knife;man;snake;knife;knife;snake;man;knife;water;water;snake;meat;tiger;deer;meat;snake;rock;child;knife;deer;man;meat;woman;snake;fruit;child;fire;snake;fire;snake;meat;snake;snake;woman;snake;snake;knife;woman;snake;fire;snake;snake;deer;woman;fire;tiger;knife;deer;deer;snake;man;fire;deer;woman;fire;deer;knif;fire;snake;deer;snake;water;fire;rock;knife;snake;deer;snake;woman;snake;deer;man;deer;knife;knife;fire;meat;knife;fire;tiger;fire;child;water;woman;fire;fire;knife;fire;deer;knife;snake;man;knife;snake;snake;fire;fire;deer;rock;knife;snake;fire;knife;fire;water;knife;knife;knife;fire;meat;knife;meat;knife ;fire;water;snake;woman;deer;tiger;women;fruit;woman;deer;knife;fire;fire;tiger;rock;meat;deer;fire;woman;snake;snake;fruit;snake;snake;woman;snake;snake;child;meat;deer;meat;man,,
KD_man.wav;man;17;36;19;25;man;man;man;man;man;man;man;man;man;deer;man;man;man;man;man;knife;man;man;man;man;man;man;man;man;man;deer;man;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;fruit;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;man;man;tiger;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;man;woman;man;man;man;man;man;man;man;man;man;man;man;man;tiger;tiger;man;man;man;man,,
