meaning,category,subcategory
child,noun,people
man,noun,people
woman,noun,people
snake,noun,animal
tiger,noun,animal
deer,noun,animal
fire,noun,inanimate
fruit,noun,inanimate
knife,noun,inanimate
meat,noun,inanimate
rock,noun,inanimate
water,noun,inanimate
bad,property,adjective
big,property,adjective
small,property,adjective
dull,property,adjective
sharp,property,adjective
good,property,adjective
one,property,quantifier
many,property,quantifier
that,demonstrative,demonstrative
this,demonstrative,demonstrative
cook,action,action
cut,action,action
eat,action,action
gather,action,action
hide,action,action
hunt,action,action
pound,action,action
sleep,action,action