EN,AL,AM,CN,DE,DK,EE,ES,FA,FI,FR,GE,GR,HU,IT,JP,KR,MG,MS,PL,PT,RO,RU,SE,TA,TH,TR,US,ZU
bad,e keqe,վատ,坏,schlecht,dårlig,halb,malo,بد,huono,mauvais,ცუდი,κακός,rossz,cattivo,悪い,나쁘다,ratsy,buruk,zły,mal,rău,плохой,dålig,தீமையான,แย่,kötü,bad,kubi
big,e madhe,մեծ,大,groß,stor,suur,grande,بزرگ,"iso, suuri",grand,დიდი,μεγάλος,nagy,grande,大きい,크다,vaventy,besar ,duży,grande,mare,большой,stor,பெரிய,ใหญ่,büyük,big,kukhulu
child,fëmijë,երեխա,孩子,Kind,barn,laps,niño,بچه,lapsi,enfant,ბავშვი,παιδί,gyerek,bambino,子ども,아이,zazakely,anak,dziecko,criança,copil,ребёнок,barn,குழந்தை,เด็ก,çocuk,child,umntwana
cook,gatuaj,եփել,做饭,kochen,lave mad,süüa tegema,cocinar,پختن,laittaa ruokaa,cuisiner,საჭმლის მომზადება,μαγειρεύω,főz,cucinare,料理する,요리하다,mahandro,memasak,gotować,cozinhar,a găti,готовить,laga (mat),சமை,ทำอาหาร,pişirmek,cook,pheka
cut,pres,կտրել,切割,schneiden,skære,lõikama,cortar,بریدن,leikata,couper,"დაჭრა, ჩაჭრა, დანაწევრება, შემცირება",κόβω,vág,tagliare,切る,자르다,manety,memotong,ciąć,cortar,a tăia,резать,skära,வெட்டு,ตัด,kesmek,cut,sika
deer,dre,եղնիկ,鹿,Hirsch,rådyr,hirv,ciervo,گوزن,peura,cerf,ირემი,ελάφι,szarvas,cervo,鹿,사슴,cerf,rusa,jeleń,veado,căprioară,олень,hjort,மான்,กวาง,geyik,deer,inyamazane
dull,I trashë,բութ (ոչ սուր),钝,stumpf,stump,nüri,desafilado,کودن,tylsä,émoussé,"მშრალი, გამომშრალი, ყრუ, უინტერესო, მოსაწყენი",βαρετός,tompa,smussato,鈍い,무디다,dombo,tumpul,tępy,rombo,bont,тупой,slö,மந்தமான,"ทื่อ, โง่",kör,dull,kubuthuntu
eat,ha,ուտել,吃,essen,spise,sööma,comer,خوردن,syödä,manger,ჭამა,τρώω,eszik,mangiare,食べる,먹다 ,sakafo,makan,jeść,comer,a mânca,есть,äta,சாப்பிடு,กิน,yemek,eat,yidla
fire,zjarr,կրակ,火,Feuer,ild,tuli,fuego,آتش,tuli,feu,ცეცხლი,φωτιά,tűz,fuoco,火,불,afo,api,ogień,fogo,foc,огонь,eld,தீ,ไฟ,ateş,fire,umlilo
fruit,frut,միրգ,水果,Frucht,frugt,puuvili,fruta,میوه,hedelmä,fruit,"ხილი, ნაყოფი",φρούτο,gyümölcs,frutta,果物,열매,voankazo,buah,owoc,fruta,fruct,фрукт,frukt,பழம்,ผลไม้,meyve,fruit,isithelo
gather,mbledh,հավաք(վ)ել,搜集,(ver)sammeln,samle,koguma,recoger,جمع‌کردن,kerätä,cueillir,შეკრება,μαζεύω,gyűjt,raccogliere,集める,모으다,managona,mengumpulkan,zbierać (się),juntar(-se),a aduna,собирать(ся),samla,திரட்டு,รวบรวม เก็บ,toplamak,gather,qoqa
good,e mirë,լավ,好,gut,god,hea,bueno,خوب,hyvä,bon,"კარგი, კეთილი",καλός,jó,buono,良い,좋다,tsara,baik,dobry,bom,bun,хороший,bra,நன்மையான,ดี,iyi,good,kuhle
hide,fsheh,թաքնվել,躲藏,verstecken,gemme,peitma,esconder,پنهان‌کردن,piiloutua,cacher,"დამალვა, დაფარვა",κρύβομαι,rejt,nascondere,隠す,숨기다/숨다 ,manafina,menyembunyikan,chować (się),esconder,a ascunde,прятать(ся),gömma,மறை,ซ่อน,saklamak,hide,fihla
hunt,shkoj për gjueti,որսալ,打猎,jagen,jagte,jahtima,cazar,شکار‌کردن,metsästää,chasser,ნადირობა,κυνηγάω,vadászik,andare a caccia,狩る,사냥하다 ,mihaza,berburu,polować,caçar,a vâna,охотиться,jaga,வேட்டையாடு,ล่า,avlamak,hunt,zingela
knife,thikë,դանակ,刀,Messer,kniv,nuga,cuchillo,چاقو,veitsi,couteau,დანა,μαχαίρι,kés,coltello,ナイフ,칼,antsy,pisau,nóż,faca,cuțit,нож,kniv,கத்தி,มีด,bıçak,knife,ummese
man,burrë,տղամարդ,男人,Mann,mand,mees,hombre,مرد,mies,homme,"კაცი, მამაკაცი",άνδρας,férfi,uomo,男,남자,lehilahy,laki-laki,mężczyzna,homem,bărbat,мужчина,man,மனிதன்,ผู้ชาย,adam,man,indoda
many,shumë,շատ,很多,viele,mange,mitu,muchos,بسیار,monta,beaucoup,ბევრი,πολλοί,sok,molti,多く(の),많은,maro,banyak,wiele,muitos,mulți,много,många,நிறைய,มาก,çok,many,ningi
meat,mish,միս,肉,Fleisch,kød,liha,carne,گوشت,liha,viande,ხორცი,κρέας,hús,carne,肉,고기,hena,daging,mięso,carne,carne,мясо,kött,கறி,เนื้อ,et,meat,inyama
one,një,մեկ,一,eins,et,üks,uno,یک,yksi,un,ერთი,ένα,egy,uno,ひとつ(の),하나,iray,satu,jeden,um,un,один,en,ஒன்று,หนึ่ง,bir,one,kunye
pound,godas,զարկել,重重地击打,hämmern,hamre,taguma,golpear,کوبیدن,rynkyttää,battre,"ცემა, ძგერა (გულის)",χτυπάω,üt,battere,叩く,두드리다,mikapoka,memukul,walić,martelar,"a bate, a lovi",бить(ся),dunka,தூளாக்கு,"ตำ โขลก""",dövmek,pound,qongqotha
rock,shkëmb,քար,石块,Stein,sten,kivi,piedra,صخره,kivi,pierre,ქვა,πέτρα,kő,sasso,岩,돌,vato,batu,kamień,pedra,piatră,камень,sten,பாறை,หิน,kaya,rock,idwala
sharp,I mprehtë,սուր (ոչ բութ),锋利,scharf,skarp,terav,afilado,باهوش,terävä,aiguisé,ბასრი,κοφτερός,éles,affilato,鋭い,날카롭다,masiaka,tajam,ostry,afiado,ascuțit,острый,vass,கூர்மையான,แหลมคม,keskin,sharp,kucijile
sleep,fle,քնել,睡觉,schlafen,sove,magama,dormir,خوابیدن,nukkua,dormir,ძილი,κοιμάμαι,alszik,dormire,眠る,자다,matory,tidur,spać,dormir,a dormi,спать,sova,தூங்கு,นอน,uyumak,sleep,lala
small,I vogël,փոքր,小,klein,lille,väike,pequeño,کوچک,pieni,petit,პატარა,μικρός,kicsi,piccolo,小さい,작다,kely,kecil,mały,pequeno ,mic,маленький,liten,சிறிய,เล็ก,küçük,small,ncane
snake,gjarpër,օձ,蛇,Schlange,slange,madu,serpiente,مار,käärme,serpent,გველი,φίδι,kígyó,serpente,蛇,뱀,bibilava,ular,wąż,cobra,șarpe,змея,orm,பாம்பு,งู,yılan,snake,inyoka
that,ai/ajo,այդ,那,das,denne/dette (der),too,eso,آن,tuo,celui-là,ის,εκείνο,az,quello,あれ,그,ny,itu,tamto,"isso, aquilo",aceea,тот,den där,அந்த,นั้น,şu,that,lokho
this,ky/kjo,այս,这,dies,denne/dette (her),see,esto,این,tämä,celui-ci,ეს,αυτό,ez,questo,これ,이,inty,ini,to,isto,acest,этот,den här,இந்த,นี้,bu,this,lokhu
tiger,tigër,վագր,老虎,Tiger,tiger,tiiger,tigre,ببر,tiikeri,tigre,ვეფხვი,τίγρης,tigris,tigre,虎,호랑이,tigra,harimau,tygrys,onça,tigru,тигр,tiger,புலி,เสือ,kaplan,tiger,ibhubesi
water,ujë,ջուր,水,Wasser,vand,vesi,agua,آب,vesi,eau,წყალი,νερό,víz,acqua,水,물,rano,air,woda,água,apă,вода,vatten,தண்ணீர்,น้ำ,su,water,amanzi
woman,grua,կին,女人,Frau,kvinde,naine,mujer,زن,nainen,femme,ქალი,γυναίκα,nő,donna,女,여자,ramatoa,perempuan,kobieta,mulher,femeie,женщина,kvinna,மனுஷி,ผู้หญิง,kadın,woman,umfazi
clapping,duke duartrokitur,ծափահարություն,击掌,Klatschen,klappe,plaksutamine,palmadas,کف‌زدن,taputtaa,applaudissements,"ტაშის დაკვრა, შემოკვრა",παλαμάκια,taps,applauso,拍手,박수,mitehaka,tepukan,klaskanie,bater palmas,aplauze,хлопание,handklappning,கைதட்டும்,เสียงปรบมือ,alkış,clapping,shay'izandla
